min_support,min_confidence,n_frequent_itemsets,n_rules_total,n_rules_ui,n_rules_report_ready,avg_lift_ui,avg_confidence_ui,avg_support_count_ui,max_lift_ui
0.002766,0.05,161,146,96,39,5.045505,0.238762,7.541667,72.3
0.002766,0.1,161,88,70,39,6.065322,0.29911,8.871429,72.3
0.002766,0.2,161,49,43,23,7.64791,0.397878,10.906977,72.3
0.002766,0.3,161,24,24,13,7.753453,0.529695,12.916667,72.3
0.002766,0.4,161,14,14,7,11.191287,0.662698,7.857143,72.3
0.002766,0.5,161,11,11,5,11.481571,0.724646,8.181818,72.3
0.004149,0.05,102,92,62,39,3.230273,0.233464,10.580645,18.075
0.004149,0.1,102,63,49,39,3.511988,0.273801,11.816327,18.075
0.004149,0.2,102,32,28,23,3.863095,0.374548,15.678571,18.075
0.004149,0.3,102,16,16,13,3.844603,0.488292,18.375,18.075
0.004149,0.4,102,7,7,7,4.924507,0.673016,13.714286,18.075
0.004149,0.5,102,5,5,5,5.638163,0.760889,15.6,18.075
0.006916,0.05,63,51,35,31,3.202163,0.260876,15.571429,18.075
0.006916,0.1,63,42,31,31,3.320093,0.284591,16.387097,18.075
0.006916,0.2,63,20,18,18,3.365388,0.390324,22.166667,18.075
0.006916,0.3,63,10,10,10,3.934248,0.526267,27.0,18.075
0.006916,0.4,63,6,6,6,5.248146,0.646296,15.166667,18.075
0.006916,0.5,63,4,4,4,6.302035,0.742778,18.25,18.075
0.01,0.05,48,36,22,20,2.218735,0.2696,21.0,4.610435
0.01,0.1,48,29,20,20,2.241764,0.290619,21.9,4.610435
0.01,0.2,48,15,13,13,2.49557,0.37273,28.230769,4.610435
0.01,0.3,48,8,8,8,2.449648,0.474501,32.125,4.610435
0.01,0.4,48,4,4,4,2.935894,0.602778,19.5,4.610435
0.01,0.5,48,3,3,3,2.377714,0.657037,22.333333,3.156244
0.011065,0.05,48,36,22,20,2.218735,0.2696,21.0,4.610435
0.011065,0.1,48,29,20,20,2.241764,0.290619,21.9,4.610435
0.011065,0.2,48,15,13,13,2.49557,0.37273,28.230769,4.610435
0.011065,0.3,48,8,8,8,2.449648,0.474501,32.125,4.610435
0.011065,0.4,48,4,4,4,2.935894,0.602778,19.5,4.610435
0.011065,0.5,48,3,3,3,2.377714,0.657037,22.333333,3.156244
0.013831,0.05,43,34,20,18,2.277679,0.282926,22.3,4.610435
0.013831,0.1,43,27,18,18,2.309816,0.307761,23.444444,4.610435
0.013831,0.2,43,15,13,13,2.49557,0.37273,28.230769,4.610435
0.013831,0.3,43,8,8,8,2.449648,0.474501,32.125,4.610435
0.013831,0.4,43,4,4,4,2.935894,0.602778,19.5,4.610435
0.013831,0.5,43,3,3,3,2.377714,0.657037,22.333333,3.156244
0.02,0.05,31,16,8,8,2.434513,0.360315,38.0,3.156244
0.02,0.1,31,14,8,8,2.434513,0.360315,38.0,3.156244
0.02,0.2,31,10,8,8,2.434513,0.360315,38.0,3.156244
0.02,0.3,31,5,5,5,2.201971,0.448979,44.4,3.156244
0.02,0.4,31,1,1,1,3.156244,0.86,43.0,3.156244
0.02,0.5,31,1,1,1,3.156244,0.86,43.0,3.156244
0.020747,0.05,28,16,8,8,2.434513,0.360315,38.0,3.156244
0.020747,0.1,28,14,8,8,2.434513,0.360315,38.0,3.156244
0.020747,0.2,28,10,8,8,2.434513,0.360315,38.0,3.156244
0.020747,0.3,28,5,5,5,2.201971,0.448979,44.4,3.156244
0.020747,0.4,28,1,1,1,3.156244,0.86,43.0,3.156244
0.020747,0.5,28,1,1,1,3.156244,0.86,43.0,3.156244
0.03,0.05,21,6,4,4,2.214022,0.445035,56.5,3.156244
0.03,0.1,21,6,4,4,2.214022,0.445035,56.5,3.156244
0.03,0.2,21,5,4,4,2.214022,0.445035,56.5,3.156244
0.03,0.3,21,3,3,3,1.899948,0.520622,61.0,3.156244
0.03,0.4,21,1,1,1,3.156244,0.86,43.0,3.156244
0.03,0.5,21,1,1,1,3.156244,0.86,43.0,3.156244
0.05,0.05,14,4,4,4,2.214022,0.445035,56.5,3.156244
0.05,0.1,14,4,4,4,2.214022,0.445035,56.5,3.156244
0.05,0.2,14,4,4,4,2.214022,0.445035,56.5,3.156244
0.05,0.3,14,3,3,3,1.899948,0.520622,61.0,3.156244
0.05,0.4,14,1,1,1,3.156244,0.86,43.0,3.156244
0.05,0.5,14,1,1,1,3.156244,0.86,43.0,3.156244
