covariance_type,n_components,silhouette,calinski_harabasz,davies_bouldin,aic,bic
full,2,0.7153837545491953,44102.36574215886,0.46999060576003565,-522276.942881063,-522097.50314102165
diag,2,0.7153837545491953,44102.36574215886,0.46999060576003565,-522120.89409571944,-521998.1195367438
tied,2,0.7153837545491953,44102.36574215886,0.46999060576003565,560151.5558754137,560274.3304343893
tied,3,0.457690939022865,51020.861628123836,0.7277195045408685,538077.1358639357,538237.6872102885
full,3,0.4285046362256188,54446.570179034345,0.8238353838799498,-549501.573283621,-549227.6915751369
diag,3,0.427360021374699,54463.332569926846,0.8189250495455499,-549245.8549901271,-549056.9710532415
tied,4,0.39063453116057323,65336.04121276965,0.7470659935923709,537452.6007242132,537650.928857943
diag,4,0.38609906495899426,70495.39511473483,0.7630412049578325,-551953.3394336952,-551698.3461188996
full,4,0.38281988328551386,69916.71700285956,0.7664448726604995,-552204.4123979475,-551836.0887210206
tied,5,0.3508496971945492,63538.130257598874,0.7713769882566626,535676.079222694,535912.1841438011
diag,8,0.34096210422972234,66518.9226737442,0.8499096580513577,-557652.1820416893,-557132.7512152538
full,8,0.34014560206525274,66344.94859841607,0.8532162418356071,-557779.2682160176,-557033.1766653195
diag,10,0.33921698433397723,67463.09987145179,0.8329271147191614,-595706.6116131645,-595054.9620309093
diag,6,0.3385722552865212,64847.902439351106,0.8849259866517948,-555917.7902853029,-555530.5782146874
full,10,0.3381466241338209,67056.77241522523,0.8365515362568301,-595763.6062659654,-594828.6307783816
diag,7,0.3376106695523805,60517.885469592715,0.8473416781810991,-594388.449187731,-593935.1277392056
full,6,0.33668080588749955,65081.25695753637,0.8459615151337938,-556324.9634513847,-555767.7558375722
full,7,0.33658673958377305,59957.87400378175,0.8548709680263046,-594638.5455808904,-593986.8959986351
tied,6,0.3316226757353444,60802.50892029236,0.9017659225810689,534536.1859215759,534810.06763006
diag,5,0.3312639857347699,58192.757244725224,0.9851536784606539,-554419.4175168107,-554098.3148241051
full,9,0.33001135893608735,63014.47311332367,0.8232499176174609,-594936.1672848554,-594095.6337657145
tied,7,0.329629791155989,55635.159540989065,0.9108401229410585,390906.40728976583,391218.06578562706
diag,9,0.32938570343604906,63379.76598212453,0.8205532881864482,-594789.3689108652,-594203.8287065198
full,5,0.3172501837588296,56047.96915961531,0.9644466098297266,-555017.2185332937,-554554.4528879239
tied,8,0.3130772006511704,60613.78749644386,0.8388660149680827,533948.4367650863,534297.8720483247
tied,10,0.2996371950966273,58879.76465506525,0.8230214590207676,390555.1379665691,390980.12682456174
tied,9,0.22885468696851421,45614.248343653766,0.8277482203476992,390771.72787373984,391158.93994435534
