k,inertia,silhouette,calinski_harabasz,davies_bouldin,min_cluster_share_pct
2,190214.60209300928,0.7153837545491953,44102.36574215886,0.46999060576003565,3.0002784978255748
3,129158.39184767922,0.4211442171397448,54540.6819036911,0.8344576309104537,3.0002784978255748
4,82907.90359025564,0.395254059461233,74003.1504820514,0.7564686881235386,3.0002784978255748
5,68332.56996763324,0.35784973617185334,72318.20938513726,0.8116236408718823,3.0002784978255748
6,58433.32985347671,0.3547915622555211,70819.00342257765,0.8005676688327168,3.0002784978255748
7,51228.91708419583,0.35435910335311965,69502.73327648627,0.8030646827062303,3.0002784978255748
8,45847.95191914237,0.3470727290983768,68129.64570438446,0.8421111555262306,3.0002784978255748
9,41486.97055751665,0.3409932256514252,67106.21292076772,0.8151724436276716,3.0002784978255748
10,36709.165896055856,0.3420012226216692,68762.84822152846,0.8308818606898158,0.2442211701193256
