item,frequency
furniture_decor,202
bed_bath_table,197
housewares,102
baby,93
garden_tools,71
health_beauty,69
sports_leisure,67
cool_stuff,66
toys,50
home_confort,50
computers_accessories,50
watches_gifts,40
auto,35
stationery,31
telephony,27
home_construction,26
perfumery,25
electronics,23
construction_tools_lights,18
construction_tools_construction,17
office_furniture,15
furniture_living_room,15
luggage_accessories,15
market_place,12
pet_shop,10
fashion_bags_accessories,10
costruction_tools_garden,9
food,8
consoles_games,8
drinks,8
musical_instruments,7
construction_tools_safety,7
small_appliances,6
audio,6
kitchen_dining_laundry_garden_furniture,6
art,6
books_general_interest,5
books_technical,4
industry_commerce_and_business,4
food_drink,4
furniture_bedroom,3
tablets_printing_image,3
fashion_sport,2
cine_photo,2
fashion_shoes,2
flowers,2
music,2
fashion_childrens_clothes,2
air_conditioning,2
home_comfort_2,2
dvds_blu_ray,2
la_cuisine,2
arts_and_craftmanship,2
fixed_telephony,2
christmas_supplies,1
signaling_and_security,1
party_supplies,1
fashio_female_clothing,1
computers,1
home_appliances_2,1
pc_gamer,1
